,App_Id,Rating,Rating_Count
0,0,4,7785448.197299858
1,0,4,7785448.197299858
2,0,4,7785448.197299858
3,0,4,7785448.197299858
4,0,4,7785448.197299858
5,0,4,7785448.197299858
6,0,4,7785448.197299858
7,0,4,7785448.197299858
8,0,4,7785448.197299858
9,0,4,7785448.197299858
10,0,4,7785448.197299858
11,0,4,7785448.197299858
12,0,4,7785448.197299858
13,0,4,7785448.197299858
14,0,4,7785448.197299858
15,0,4,7785448.197299858
16,0,4,7785448.197299858
17,0,4,7785448.197299858
18,0,4,7785448.197299858
19,0,4,7785448.197299858
20,0,4,7785448.197299858
21,0,4,7785448.197299858
22,0,4,7785448.197299858
23,0,4,7785448.197299858
24,0,4,7785448.197299858
25,0,4,7785448.197299858
26,0,4,7785448.197299858
27,0,4,7785448.197299858
28,0,4,7785448.197299858
29,0,4,7785448.197299858
30,0,4,7785448.197299858
31,0,4,7785448.197299858
32,0,4,7785448.197299858
33,0,4,7785448.197299858
34,0,4,7785448.197299858
35,0,4,7785448.197299858
36,0,4,7785448.197299858
37,0,4,7785448.197299858
38,0,4,7785448.197299858
39,1,4.31905921912947,7785448.197299858
40,1,4.31905921912947,7785448.197299858
41,2,3.8,7785448.197299858
42,3,4.7,7785448.197299858
43,0,4,7785448.197299858
44,0,4,7785448.197299858
45,0,4,7785448.197299858
46,0,4,7785448.197299858
47,0,4,7785448.197299858
48,0,4,7785448.197299858
49,0,4,7785448.197299858
50,1,4.31905921912947,7785448.197299858
51,1,4.31905921912947,7785448.197299858
52,1,4.31905921912947,7785448.197299858
53,1,4.31905921912947,7785448.197299858
54,2,3.8,7785448.197299858
55,2,3.8,7785448.197299858
56,3,4.7,7785448.197299858
57,0,4,7785448.197299858
58,0,4,7785448.197299858
59,0,4,7785448.197299858
60,0,4,7785448.197299858
61,0,4,7785448.197299858
62,0,4,7785448.197299858
63,0,4,7785448.197299858
64,0,4,7785448.197299858
65,0,4,7785448.197299858
66,0,4,7785448.197299858
67,0,4,7785448.197299858
68,0,4,7785448.197299858
69,0,4,7785448.197299858
70,0,4,7785448.197299858
71,0,4,7785448.197299858
72,0,4,7785448.197299858
73,0,4,7785448.197299858
74,0,4,7785448.197299858
75,0,4,7785448.197299858
76,0,4,7785448.197299858
77,0,4,7785448.197299858
78,0,4,7785448.197299858
79,0,4,7785448.197299858
